INFO - +---------------------+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
|          K          |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
+---------------------+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
|         0.01        | 9.999999999999999e-05 |  6  |        RBF(γ = 0.001)         |       0.772       |       0.448       |  0.61 |
|         0.01        |         0.001         |  6  |        RBF(γ = 0.001)         |       0.772       |       0.448       |  0.61 |
|         0.01        |          0.01         |  6  |        RBF(γ = 0.001)         |       0.406       |       0.149       | 0.278 |
|         0.01        |  0.09999999999999999  |  6  |        RBF(γ = 0.001)         |       0.324       |        0.11       | 0.217 |
|         0.01        |          1.0          |  6  |        RBF(γ = 0.001)         |       0.262       |       0.092       | 0.177 |
|         0.01        |          10.0         |  6  |        RBF(γ = 0.001)         |       0.252       |       0.082       | 0.167 |
|         0.01        | 9.999999999999999e-05 |  6  |         RBF(γ = 0.01)         |       0.311       |       0.087       | 0.199 |
|         0.01        |         0.001         |  6  |         RBF(γ = 0.01)         |       0.311       |       0.087       | 0.199 |
|         0.01        |          0.01         |  6  |         RBF(γ = 0.01)         |       0.291       |       0.087       | 0.189 |
|         0.01        |  0.09999999999999999  |  6  |         RBF(γ = 0.01)         |       0.229       |        0.08       | 0.155 |
|         0.01        |          1.0          |  6  |         RBF(γ = 0.01)         |       0.227       |       0.071       | 0.149 |
|         0.01        |          10.0         |  6  |         RBF(γ = 0.01)         |       0.182       |       0.066       | 0.124 |
|         0.01        | 9.999999999999999e-05 |  6  | RBF(γ = 0.09999999999999999)  |       0.176       |       0.048       | 0.112 |
|         0.01        |         0.001         |  6  | RBF(γ = 0.09999999999999999)  |       0.176       |       0.048       | 0.112 |
|         0.01        |          0.01         |  6  | RBF(γ = 0.09999999999999999)  |       0.176       |       0.048       | 0.112 |
|         0.01        |  0.09999999999999999  |  6  | RBF(γ = 0.09999999999999999)  |       0.176       |       0.048       | 0.112 |
|         0.01        |          1.0          |  6  | RBF(γ = 0.09999999999999999)  |       0.164       |       0.044       | 0.104 |
|         0.01        |          10.0         |  6  | RBF(γ = 0.09999999999999999)  |       0.156       |       0.044       |  0.1  |
|         0.01        | 9.999999999999999e-05 |  6  |         RBF(γ = 1.0)          |       0.311       |       0.244       | 0.278 |
|         0.01        |         0.001         |  6  |         RBF(γ = 1.0)          |       0.311       |       0.244       | 0.278 |
|         0.01        |          0.01         |  6  |         RBF(γ = 1.0)          |       0.311       |       0.244       | 0.278 |
|         0.01        |  0.09999999999999999  |  6  |         RBF(γ = 1.0)          |       0.311       |       0.244       | 0.278 |
|         0.01        |          1.0          |  6  |         RBF(γ = 1.0)          |       0.311       |       0.244       | 0.278 |
|         0.01        |          10.0         |  6  |         RBF(γ = 1.0)          |       0.311       |       0.244       | 0.277 |
|         0.01        | 9.999999999999999e-05 |  7  |        RBF(γ = 0.001)         |       0.779       |        0.45       | 0.615 |
|         0.01        |         0.001         |  7  |        RBF(γ = 0.001)         |       0.779       |        0.45       | 0.615 |
|         0.01        |          0.01         |  7  |        RBF(γ = 0.001)         |       0.407       |       0.153       |  0.28 |
|         0.01        |  0.09999999999999999  |  7  |        RBF(γ = 0.001)         |        0.32       |       0.111       | 0.215 |
|         0.01        |          1.0          |  7  |        RBF(γ = 0.001)         |       0.262       |       0.094       | 0.178 |
|         0.01        |          10.0         |  7  |        RBF(γ = 0.001)         |       0.246       |       0.081       | 0.164 |
|         0.01        | 9.999999999999999e-05 |  7  |         RBF(γ = 0.01)         |       0.329       |       0.089       | 0.209 |
|         0.01        |         0.001         |  7  |         RBF(γ = 0.01)         |       0.329       |       0.089       | 0.209 |
|         0.01        |          0.01         |  7  |         RBF(γ = 0.01)         |       0.296       |       0.085       | 0.191 |
|         0.01        |  0.09999999999999999  |  7  |         RBF(γ = 0.01)         |       0.242       |       0.081       | 0.161 |
|         0.01        |          1.0          |  7  |         RBF(γ = 0.01)         |       0.224       |       0.072       | 0.148 |
|         0.01        |          10.0         |  7  |         RBF(γ = 0.01)         |       0.196       |       0.062       | 0.129 |
|         0.01        | 9.999999999999999e-05 |  7  | RBF(γ = 0.09999999999999999)  |       0.199       |       0.059       | 0.129 |
|         0.01        |         0.001         |  7  | RBF(γ = 0.09999999999999999)  |       0.199       |       0.059       | 0.129 |
|         0.01        |          0.01         |  7  | RBF(γ = 0.09999999999999999)  |       0.199       |       0.059       | 0.129 |
|         0.01        |  0.09999999999999999  |  7  | RBF(γ = 0.09999999999999999)  |       0.199       |       0.059       | 0.129 |
|         0.01        |          1.0          |  7  | RBF(γ = 0.09999999999999999)  |       0.188       |       0.054       | 0.121 |
|         0.01        |          10.0         |  7  | RBF(γ = 0.09999999999999999)  |       0.198       |       0.057       | 0.128 |
|         0.01        | 9.999999999999999e-05 |  7  |         RBF(γ = 1.0)          |       0.314       |       0.275       | 0.294 |
|         0.01        |         0.001         |  7  |         RBF(γ = 1.0)          |       0.314       |       0.277       | 0.295 |
|         0.01        |          0.01         |  7  |         RBF(γ = 1.0)          |       0.314       |       0.275       | 0.294 |
|         0.01        |  0.09999999999999999  |  7  |         RBF(γ = 1.0)          |       0.314       |       0.273       | 0.293 |
|         0.01        |          1.0          |  7  |         RBF(γ = 1.0)          |       0.314       |       0.278       | 0.296 |
|         0.01        |          10.0         |  7  |         RBF(γ = 1.0)          |       0.314       |       0.275       | 0.294 |
|         0.01        | 9.999999999999999e-05 |  0  |        RBF(γ = 0.001)         |       0.779       |       0.454       | 0.617 |
|         0.01        |         0.001         |  0  |        RBF(γ = 0.001)         |       0.779       |       0.454       | 0.617 |
|         0.01        |          0.01         |  0  |        RBF(γ = 0.001)         |       0.407       |       0.149       | 0.278 |
|         0.01        |  0.09999999999999999  |  0  |        RBF(γ = 0.001)         |       0.322       |       0.112       | 0.217 |
|         0.01        |          1.0          |  0  |        RBF(γ = 0.001)         |       0.262       |       0.088       | 0.175 |
