+----+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
| K  |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
+----+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
| 1  | 9.999999999999999e-05 |  6  |        RBF(γ = 0.001)         |        0.94       |       0.786       | 0.863 |
| 1  |         0.001         |  6  |        RBF(γ = 0.001)         |        0.83       |       0.367       | 0.598 |
| 1  |          0.01         |  6  |        RBF(γ = 0.001)         |       0.391       |       0.131       | 0.261 |
| 1  |  0.09999999999999999  |  6  |        RBF(γ = 0.001)         |       0.302       |       0.105       | 0.203 |
| 1  |          1.0          |  6  |        RBF(γ = 0.001)         |       0.266       |       0.089       | 0.177 |
| 1  |          10.0         |  6  |        RBF(γ = 0.001)         |       0.258       |       0.084       | 0.171 |
| 1  | 9.999999999999999e-05 |  6  |         RBF(γ = 0.01)         |       0.811       |       0.669       |  0.74 |
| 1  |         0.001         |  6  |         RBF(γ = 0.01)         |       0.811       |       0.614       | 0.713 |
| 1  |          0.01         |  6  |         RBF(γ = 0.01)         |       0.359       |       0.092       | 0.225 |
| 1  |  0.09999999999999999  |  6  |         RBF(γ = 0.01)         |       0.266       |       0.079       | 0.172 |
| 1  |          1.0          |  6  |         RBF(γ = 0.01)         |       0.237       |       0.071       | 0.154 |
| 1  |          10.0         |  6  |         RBF(γ = 0.01)         |       0.187       |       0.064       | 0.126 |
| 1  | 9.999999999999999e-05 |  6  | RBF(γ = 0.09999999999999999)  |       0.901       |       0.804       | 0.852 |
| 1  |         0.001         |  6  | RBF(γ = 0.09999999999999999)  |       0.901       |       0.804       | 0.852 |
| 1  |          0.01         |  6  | RBF(γ = 0.09999999999999999)  |       0.212       |       0.053       | 0.133 |
| 1  |  0.09999999999999999  |  6  | RBF(γ = 0.09999999999999999)  |       0.212       |       0.053       | 0.133 |
| 1  |          1.0          |  6  | RBF(γ = 0.09999999999999999)  |       0.189       |       0.046       | 0.118 |
| 1  |          10.0         |  6  | RBF(γ = 0.09999999999999999)  |       0.174       |       0.045       |  0.11 |
| 1  | 9.999999999999999e-05 |  6  |         RBF(γ = 1.0)          |       0.922       |       0.801       | 0.862 |
| 1  |         0.001         |  6  |         RBF(γ = 1.0)          |       0.922       |       0.801       | 0.862 |
| 1  |          0.01         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.252       | 0.282 |
| 1  |  0.09999999999999999  |  6  |         RBF(γ = 1.0)          |       0.312       |       0.251       | 0.282 |
| 1  |          1.0          |  6  |         RBF(γ = 1.0)          |       0.275       |       0.218       | 0.246 |
| 1  |          10.0         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.252       | 0.282 |
| 1  | 9.999999999999999e-05 |  7  |        RBF(γ = 0.001)         |       0.939       |        0.79       | 0.864 |
| 1  |         0.001         |  7  |        RBF(γ = 0.001)         |       0.847       |       0.377       | 0.612 |
| 1  |          0.01         |  7  |        RBF(γ = 0.001)         |       0.389       |       0.135       | 0.262 |
| 1  |  0.09999999999999999  |  7  |        RBF(γ = 0.001)         |       0.302       |       0.106       | 0.204 |
| 1  |          1.0          |  7  |        RBF(γ = 0.001)         |        0.27       |       0.089       |  0.18 |
| 1  |          10.0         |  7  |        RBF(γ = 0.001)         |       0.251       |       0.084       | 0.167 |
| 1  | 9.999999999999999e-05 |  7  |         RBF(γ = 0.01)         |       0.859       |       0.737       | 0.798 |
| 1  |         0.001         |  7  |         RBF(γ = 0.01)         |       0.859       |       0.652       | 0.756 |
| 1  |          0.01         |  7  |         RBF(γ = 0.01)         |       0.395       |       0.093       | 0.244 |
| 1  |  0.09999999999999999  |  7  |         RBF(γ = 0.01)         |        0.29       |       0.078       | 0.184 |
| 1  |          1.0          |  7  |         RBF(γ = 0.01)         |       0.231       |        0.07       | 0.151 |
| 1  |          10.0         |  7  |         RBF(γ = 0.01)         |       0.197       |        0.06       | 0.129 |
| 1  | 9.999999999999999e-05 |  7  | RBF(γ = 0.09999999999999999)  |       0.923       |       0.802       | 0.862 |
| 1  |         0.001         |  7  | RBF(γ = 0.09999999999999999)  |       0.923       |       0.802       | 0.862 |
| 1  |          0.01         |  7  | RBF(γ = 0.09999999999999999)  |       0.209       |       0.085       | 0.147 |
| 1  |  0.09999999999999999  |  7  | RBF(γ = 0.09999999999999999)  |       0.215       |       0.084       | 0.149 |
| 1  |          1.0          |  7  | RBF(γ = 0.09999999999999999)  |       0.207       |       0.081       | 0.144 |
| 1  |          10.0         |  7  | RBF(γ = 0.09999999999999999)  |       0.202       |       0.071       | 0.137 |
| 1  | 9.999999999999999e-05 |  7  |         RBF(γ = 1.0)          |       0.925       |       0.801       | 0.863 |
| 1  |         0.001         |  7  |         RBF(γ = 1.0)          |       0.922       |       0.801       | 0.862 |
| 1  |          0.01         |  7  |         RBF(γ = 1.0)          |       0.314       |       0.285       | 0.299 |
| 1  |  0.09999999999999999  |  7  |         RBF(γ = 1.0)          |       0.314       |       0.284       | 0.299 |
| 1  |          1.0          |  7  |         RBF(γ = 1.0)          |       0.391       |       0.391       | 0.391 |
| 1  |          10.0         |  7  |         RBF(γ = 1.0)          |       0.314       |       0.286       |  0.3  |
| 1  | 9.999999999999999e-05 |  0  |        RBF(γ = 0.001)         |       0.941       |       0.797       | 0.869 |
| 1  |         0.001         |  0  |        RBF(γ = 0.001)         |       0.908       |       0.413       |  0.66 |
| 1  |          0.01         |  0  |        RBF(γ = 0.001)         |       0.405       |       0.134       |  0.27 |
| 1  |  0.09999999999999999  |  0  |        RBF(γ = 0.001)         |        0.32       |       0.112       | 0.216 |
| 1  |          1.0          |  0  |        RBF(γ = 0.001)         |       0.267       |       0.088       | 0.177 |
| 1  |          10.0         |  0  |        RBF(γ = 0.001)         |       0.244       |       0.069       | 0.156 |
| 1  | 9.999999999999999e-05 |  0  |         RBF(γ = 0.01)         |       0.893       |       0.817       | 0.855 |
| 1  |         0.001         |  0  |         RBF(γ = 0.01)         |       0.893       |       0.752       | 0.823 |
| 1  |          0.01         |  0  |         RBF(γ = 0.01)         |       0.441       |       0.103       | 0.272 |
| 1  |  0.09999999999999999  |  0  |         RBF(γ = 0.01)         |       0.334       |       0.079       | 0.207 |
| 1  |          1.0          |  0  |         RBF(γ = 0.01)         |       0.206       |       0.058       | 0.132 |
| 1  |          10.0         |  0  |         RBF(γ = 0.01)         |       0.137       |       0.045       | 0.091 |
| 1  | 9.999999999999999e-05 |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.801       | 0.877 |
| 1  |         0.001         |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.801       | 0.877 |
| 1  |          0.01         |  0  | RBF(γ = 0.09999999999999999)  |       0.321       |       0.222       | 0.271 |
| 1  |  0.09999999999999999  |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
| 1  |          1.0          |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
