+-----+---------------------+-----+-------------------+-------------------+-------+
|  K  |          C          | PCA | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
+-----+---------------------+-----+-------------------+-------------------+-------+
| 0.1 |        0.001        |  6  |       0.935       |       0.364       | 0.649 |
| 0.1 |         0.01        |  6  |       0.912       |       0.356       | 0.634 |
| 0.1 |         0.1         |  6  |       0.723       |       0.279       | 0.501 |
| 0.1 |         1.0         |  6  |       0.478       |       0.192       | 0.335 |
| 0.1 |         10.0        |  6  |       0.523       |        0.18       | 0.352 |
| 0.1 |        100.0        |  6  |       0.711       |       0.288       |  0.5  |
| 0.1 |        0.001        |  0  |       0.893       |       0.358       | 0.625 |
| 0.1 |         0.01        |  0  |       0.867       |       0.351       | 0.609 |
| 0.1 |         0.1         |  0  |       0.711       |       0.284       | 0.498 |
| 0.1 |         1.0         |  0  |       0.489       |       0.199       | 0.344 |
| 0.1 |         10.0        |  0  |       0.476       |       0.181       | 0.329 |
| 0.1 |        100.0        |  0  |       0.732       |       0.291       | 0.511 |
|  1  |        0.001        |  6  |       0.711       |       0.278       | 0.495 |
|  1  |         0.01        |  6  |       0.488       |       0.191       |  0.34 |
|  1  |         0.1         |  6  |       0.459       |       0.167       | 0.313 |
|  1  |         1.0         |  6  |       0.456       |        0.17       | 0.313 |
|  1  |         10.0        |  6  |       0.455       |       0.171       | 0.313 |
|  1  |        100.0        |  6  |       0.639       |       0.254       | 0.447 |
|  1  |        0.001        |  0  |        0.7        |        0.28       |  0.49 |
|  1  |         0.01        |  0  |       0.488       |        0.2        | 0.344 |
|  1  |         0.1         |  0  |       0.469       |       0.174       | 0.321 |
|  1  |         1.0         |  0  |       0.465       |       0.174       |  0.32 |
|  1  |         10.0        |  0  |       0.473       |       0.175       | 0.324 |
|  1  |        100.0        |  0  |       0.791       |       0.351       | 0.571 |
+-----+---------------------+-----+-------------------+-------------------+-------+
