+-----+---------------------+-----+-------------------+-------------------+-------+
|  K  |          C          | PCA | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
+-----+---------------------+-----+-------------------+-------------------+-------+
| 0.1 |        0.001        |  6  |       0.935       |       0.364       | 0.649 |
| 0.1 |         0.01        |  6  |       0.912       |       0.356       | 0.634 |
| 0.1 | 0.09999999999999999 |  6  |       0.723       |       0.279       | 0.501 |
| 0.1 |         1.0         |  6  |       0.478       |       0.192       | 0.335 |
| 0.1 |         10.0        |  6  |       0.523       |        0.18       | 0.352 |
| 0.1 |        100.0        |  6  |       0.711       |       0.288       |  0.5  |
| 0.1 |        0.001        |  0  |       0.498       |       0.183       | 0.341 |
| 0.1 |         0.01        |  0  |       0.471       |       0.174       | 0.322 |
| 0.1 | 0.09999999999999999 |  0  |       0.471       |       0.173       | 0.322 |
| 0.1 |         1.0         |  0  |       0.459       |        0.17       | 0.314 |
| 0.1 |         10.0        |  0  |       0.463       |       0.174       | 0.318 |
| 0.1 |        100.0        |  0  |       0.466       |       0.174       |  0.32 |
|  1  |        0.001        |  6  |       0.711       |       0.278       | 0.495 |
|  1  |         0.01        |  6  |       0.488       |       0.191       |  0.34 |
|  1  | 0.09999999999999999 |  6  |       0.459       |       0.167       | 0.313 |
|  1  |         1.0         |  6  |       0.456       |        0.17       | 0.313 |
|  1  |         10.0        |  6  |       0.455       |       0.171       | 0.313 |
|  1  |        100.0        |  6  |       0.639       |       0.254       | 0.447 |
|  1  |        0.001        |  0  |       0.483       |       0.179       | 0.331 |
|  1  |         0.01        |  0  |       0.462       |       0.172       | 0.317 |
|  1  | 0.09999999999999999 |  0  |       0.461       |       0.175       | 0.318 |
|  1  |         1.0         |  0  |       0.467       |       0.174       | 0.321 |
|  1  |         10.0        |  0  |       0.467       |       0.172       |  0.32 |
|  1  |        100.0        |  0  |       0.465       |       0.172       | 0.318 |
+-----+---------------------+-----+-------------------+-------------------+-------+
